Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
11	EL-15	Das Experiment war interessant, allerdings stellte es ab und an eine Schwierigkeit dar, sich zu einigen.	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	9	3	2	5	3	männlich	27	Jura	deutsch	3	0	3	3	8	3	8	5	7	4	7	2	6	5	7	4	3	6	2	5	6	5
12	EL-16	Es ging pünktlich los und die Instruktionen waren klar. Nur die Luft im Raum könnte etwas besser sein, um Kopfschmerzen und trockenen Augen vorzubeugen.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	8	8	3	7	4	weiblich	25	Medienmanagement	deutsch	0			8	9	4	8	6	6	2	5	5	3	5	6	6	2	6	4	5	6	6
13	EL-19	Spannender als ohne Kommunikation. Es sollte gelöst werde, dass Leute Leerzeilen schicken können. 	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	10	3	1	4	7	männlich	24	Ingenieurwissenschaft	deutsch	0	0	0	7	4	7	10	6	7	6	6	3	5	2	7	2	2	5	1	6	4	5
14	EL-20	Fand ich gut.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	8	3	9	2	weiblich	25	Mathematik	deutsch	3	1	2	1	8	2	9	7	6	7	7	5	4	6	6	5	3	7	4	6	7	7
15	EL-21	Interessant, aber anstrengt	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	6	6	7	8	8	weiblich	23	BWL	Ukraine	1	0	1	5	8	5	6	6	4	3	3	7	6	5	4	6	5	7	5	5	5	3
16	EL-22	Unfair für die weißen Mitglieder. Es sollte jeder die gleichen Bedingungen haben.	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	3	10	4	6	5	männlich	21	Wirtschaft und Kultur Chinas	Deutsch	1	0	1	6	4	3	2	7	3	1	3	7	5	5	2	4	5	4	6	5	7	2
17	EL-23	War in Ordnung. Nein ich möchte nichts mitteilen.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	6	6	1	1	8	4	männlich	31	Sozialökonomie	deutsch	1	0	1	8	8	3	6	5	6	5	5	6	3	2	6	2	4	4	3	5	5	5
18	EL-24	Sehr positiv, ging gefühlt schnell vorbei und war durch das chatten etwas abwechslungsreicher	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	8	7	4	7	4	weiblich	22	Psychologie	deutsch	2	2		8	8	7	9	4	6	2	3	2	6	1	6	5	2	6	3	6	5	7
19	EL-25	nicht gut, da in den chats die meisten sehr unfreundlich und vorurteilbehaftet gegenüber den blauen waren. sowas ist nicht sehr sozial spiegelt aber wahrscheinlich unsere gesellschaft gut wider, wenn sie sich hinter der anonymität verstecken können.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	5	5	5	5	5	5	weiblich	25						4	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
20	EL-26	man bekommt als weißer einen hass auf viele blaue. Anosnsten ist das exp recht gut. ich finde nur dass es etwas zu wenig geld ist da der max. betrag ja 15€ wären.. bei 2 std sollte es mehr sein.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	6	8	2	7	2	weiblich	22	wirtschaftspsychologie	deutsch	1	1	0	7	9	8	9	5	7	2	6	5	4	2	7	6	2	6	2	6	7	3
21	EL-27	viel besser im verhältnis zu den anderen! endlich mal ein bisschen was zu tun und nicht immer ewiges warten	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	9	9	9	8	5	4	weiblich	19	BWL	deutsch 	1	0	1	7	4	3	5	7	7	4	4	7	5	5	7	5	7	4	3	7	5	5
22	EL-28	Hat spaß gem,acht und war mal was anderes mit dem Chat	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	3	8	10	10	1	5	weiblich	20	BWL	deutsch	2	0	2	10	1	6	9	7	4	2	7	7	7	4	1	4	7	1	7	2	7	1
23	EL-29	Der Chat-Bestandteil war einmal eine Abwechslung, Stimmung innerhalb des Chats allerdings teils ab Rd. 15 am kippen. Blau vs. weiß!	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	3	1	10	4	männlich	32	Sozialökonomie	deutsch	0	0	0	8	8	7	10	7	5	2	6	4	6	1	3	1	1	7	3	7	6	6
24	EL-30	"\""Es war sehr anstrennt!!! Einige waren nervig und auch gab es Beschimpfungen dazu. Mir hat es persönlich nicht so viel Spass gemacht.\"""	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	7	7	7	5	8	5	weiblich	32	Sozialökomie	Peruaner	2	1	1	8	8	7	6	6	5	4	5	6	6	5	6	6	6	6	6	6	5	5
