Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
13	EL-16	ich  fand es zu lang	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	4	3	8	4	weiblich	32	bwl	türkisch	5	2	3	5	9	4	6	6	6	2	6	6	6	3	6	6	4	5	4	6	4	4
14	EL-20	gut, durch die Wartezeit zwischen/während der Runden etwas langatmig	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	3	5	1	4	männlich	21	Politikwissenschaft	deutsch	2	1	1	7	6	4	6	7	3	5	4	6	6	6	3	2	7	7	7	6	6	4
15	EL-21	fand ich interessant, besonders den Chat	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	4	7	4	2	weiblich	29	Geophysik	deutsch	1	0	1	8	3	7	10	4	5	5	5	6	6	2	3	6	7	6	7	5	4	3
16	EL-22	Gut	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	5	8	2	9	2	weiblich	26	Erziehung und Bildungswissenschaft	Spanierin	1	0	1	8	5	5	8	4	6	4	6	7	4	4	6	4	4	3	3	6	6	2
17	EL-23	"Das Experiment fand ich in Ordnung, aber....Da mir die Rolle \""Blau\"" zugeteilt war, was es für mich ein bisschen langweilig, da ich keine Informationen bekamm und auch beim Chaten nicht mitmachen durfte.\r\n"	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	5	3	1	10	5	weiblich	28	Germanistische Linguistik	Ukraine	1	1	0	4	5	3	10	7	4	1	3	4	7	1	4	7	2	7	3	7	6	4
18	EL-24	"Das Experiment war durch die Chatfunktion unterhaltsamer, zumindest wenn man Teilnehmer der \""weißen\"" Gruppenmitglieder war ;)"	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	7	7	7	1	3	weiblich	31	Kriminologie	deutsch	1	0	1	8	5	6	10	6	7	2	5	7	7	6	7	7	2	5	2	6	6	4
19	EL-25	In ordnung, handel mit virtuellen aktien oder ähnliches gefällt mir besser\r\n	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	5	7	4	5	männlich	20	VWL	deutsch	2	0	2	3	8	5	9	5	6	4	6	4	6	3	6	6	3	7	3	7	5	6
20	EL-26	es war sehr langweilig als blauer. Sonst ein gutes Experiment, würde gerne mehr dazu erfahren. \r\n	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	1	1	3	3	3	männlich	26	AWG	DE	5	0	5	5	5	5	5	3	4	5	7	5	6	6	5	7	1	5	5	6	7	6
21	EL-27	die Wartezeit zwisschendrin war manchmal zu lange	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	8	9	4	3	weiblich	21	BWL	Deutsch	2	2	0	8	9	6	9	6	7	3	5	7	7	5	7	5	2	5	2	7	7	6
22	EL-28	nein	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	8	6	3	8	4	weiblich	24	Medizin	Deutsch	1	1	0	5	9	6	8	6	5	1	5	4	6	2	6	7	4	6	4	6	6	5
23	EL-29	Es scheint etwas mit soziale entscheidungen zu tun haben.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	7	5	5	7	3	männlich	32	Politics, Economics and Philosophy	Pakistanisch	4	1	3	8	6	7	10	5	4	6	3	7	7	7	5	7	3	5	6	6	5	4
24	EL-30	War gut	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	8	9	8	9	3	3	männlich	21	BWL	Deutsch	3	0	2	8	9	7	8	5	6	5	6	2	6	4	5	6	2	6	3	5	6	7
